date,currency_code,price_in_PLN_raw,ingest_date,rate_type,update_frequency,day,month,year
2025-12-08,PHP,0.0615,2025-12-19,A,DAILY,8,12,2025
2025-12-12,INR,0.0398,2025-12-19,A,DAILY,12,12,2025
2025-12-19,PHP,0.0612,2025-12-19,A,DAILY,19,12,2025
2025-12-12,NZD,2.0950,2025-12-19,A,DAILY,12,12,2025
2025-12-05,ISK,0.0284,2025-12-19,A,DAILY,5,12,2025
2025-12-16,ILS,1.1170,2025-12-19,A,DAILY,16,12,2025
2025-12-19,IDR,0.0002,2025-12-19,A,DAILY,19,12,2025
2025-11-25,JPY,0.0235,2025-12-19,A,DAILY,25,11,2025
2025-11-21,TRY,0.0868,2025-12-19,A,DAILY,21,11,2025
2025-12-03,MXN,0.1989,2025-12-19,A,DAILY,3,12,2025
2025-12-16,SEK,0.3863,2025-12-19,A,DAILY,16,12,2025
2025-12-02,INR,0.0406,2025-12-19,A,DAILY,2,12,2025
2025-12-09,INR,0.0404,2025-12-19,A,DAILY,9,12,2025
2025-12-01,XDR,4.9715,2025-12-19,A,DAILY,1,12,2025
2025-12-16,KRW,0.0024,2025-12-19,A,DAILY,16,12,2025
2025-12-05,THB,0.1140,2025-12-19,A,DAILY,5,12,2025
2025-12-10,ISK,0.0284,2025-12-19,A,DAILY,10,12,2025
2025-11-28,CHF,4.5416,2025-12-19,A,DAILY,28,11,2025
2025-12-15,ISK,0.0284,2025-12-19,A,DAILY,15,12,2025
2025-12-10,BGN,2.1614,2025-12-19,A,DAILY,10,12,2025
2025-11-27,XDR,4.9696,2025-12-19,A,DAILY,27,11,2025
2025-12-12,BRL,0.6665,2025-12-19,A,DAILY,12,12,2025
2025-12-11,ZAR,0.2137,2025-12-19,A,DAILY,11,12,2025
2025-11-21,CLP,0.0040,2025-12-19,A,DAILY,21,11,2025
2025-12-01,CAD,2.6017,2025-12-19,A,DAILY,1,12,2025
2025-12-03,RON,0.8312,2025-12-19,A,DAILY,3,12,2025
2025-12-10,IDR,0.0002,2025-12-19,A,DAILY,10,12,2025
2025-12-16,ZAR,0.2138,2025-12-19,A,DAILY,16,12,2025
2025-12-18,UAH,0.0847,2025-12-19,A,DAILY,18,12,2025
2025-12-12,XDR,4.9698,2025-12-19,A,DAILY,12,12,2025
2025-12-15,NOK,0.3547,2025-12-19,A,DAILY,15,12,2025
2025-12-15,CNY,0.5098,2025-12-19,A,DAILY,15,12,2025
2025-12-09,UAH,0.0862,2025-12-19,A,DAILY,9,12,2025
2025-12-02,NZD,2.0877,2025-12-19,A,DAILY,2,12,2025
2025-11-20,CNY,0.5156,2025-12-19,A,DAILY,20,11,2025
2025-11-26,ZAR,0.2132,2025-12-19,A,DAILY,26,11,2025
2025-12-15,GBP,4.8098,2025-12-19,A,DAILY,15,12,2025
2025-12-08,ZAR,0.2137,2025-12-19,A,DAILY,8,12,2025
2025-12-05,XDR,4.9756,2025-12-19,A,DAILY,5,12,2025
2025-12-09,GBP,4.8499,2025-12-19,A,DAILY,9,12,2025
2025-12-09,XDR,4.9779,2025-12-19,A,DAILY,9,12,2025
2025-11-28,PHP,0.0625,2025-12-19,A,DAILY,28,11,2025
2025-11-24,CNY,0.5167,2025-12-19,A,DAILY,24,11,2025
2025-12-04,HKD,0.4654,2025-12-19,A,DAILY,4,12,2025
2025-12-19,EUR,4.2094,2025-12-19,A,DAILY,19,12,2025
2025-12-09,HKD,0.4670,2025-12-19,A,DAILY,9,12,2025
2025-12-18,CHF,4.5064,2025-12-19,A,DAILY,18,12,2025
2025-12-01,AUD,2.3830,2025-12-19,A,DAILY,1,12,2025
2025-12-03,HUF,0.0111,2025-12-19,A,DAILY,3,12,2025
2025-12-08,INR,0.0403,2025-12-19,A,DAILY,8,12,2025
2025-11-20,UAH,0.0871,2025-12-19,A,DAILY,20,11,2025
2025-12-08,XDR,4.9719,2025-12-19,A,DAILY,8,12,2025
2025-12-02,MXN,0.1993,2025-12-19,A,DAILY,2,12,2025
2025-12-18,JPY,0.0230,2025-12-19,A,DAILY,18,12,2025
2025-11-21,BRL,0.6913,2025-12-19,A,DAILY,21,11,2025
2025-11-24,ILS,1.1207,2025-12-19,A,DAILY,24,11,2025
2025-11-26,GBP,4.8190,2025-12-19,A,DAILY,26,11,2025
2025-12-18,PHP,0.0612,2025-12-19,A,DAILY,18,12,2025
2025-12-01,NZD,2.0876,2025-12-19,A,DAILY,1,12,2025
2025-12-18,SEK,0.3856,2025-12-19,A,DAILY,18,12,2025
2025-11-28,HUF,0.0111,2025-12-19,A,DAILY,28,11,2025
2025-12-15,BGN,2.1572,2025-12-19,A,DAILY,15,12,2025
2025-12-04,HUF,0.0111,2025-12-19,A,DAILY,4,12,2025
2025-11-24,ISK,0.0288,2025-12-19,A,DAILY,24,11,2025
2025-11-19,SEK,0.3865,2025-12-19,A,DAILY,19,11,2025
2025-11-24,USD,3.6726,2025-12-19,A,DAILY,24,11,2025
2025-11-24,RON,0.8324,2025-12-19,A,DAILY,24,11,2025
2025-12-17,MXN,0.2002,2025-12-19,A,DAILY,17,12,2025
2025-11-19,CLP,0.0039,2025-12-19,A,DAILY,19,11,2025
2025-12-05,RON,0.8312,2025-12-19,A,DAILY,5,12,2025
2025-12-11,JPY,0.0232,2025-12-19,A,DAILY,11,12,2025
2025-12-17,RON,0.8275,2025-12-19,A,DAILY,17,12,2025
2025-11-21,BGN,2.1724,2025-12-19,A,DAILY,21,11,2025
2025-12-10,CAD,2.6220,2025-12-19,A,DAILY,10,12,2025
2025-12-17,SGD,2.7839,2025-12-19,A,DAILY,17,12,2025
2025-12-08,MYR,0.8826,2025-12-19,A,DAILY,8,12,2025
2025-11-25,CNY,0.5175,2025-12-19,A,DAILY,25,11,2025
2025-12-02,TRY,0.0860,2025-12-19,A,DAILY,2,12,2025
2025-11-24,INR,0.0412,2025-12-19,A,DAILY,24,11,2025
2025-11-19,THB,0.1131,2025-12-19,A,DAILY,19,11,2025
2025-11-27,CAD,2.5994,2025-12-19,A,DAILY,27,11,2025
2025-12-04,CLP,0.0039,2025-12-19,A,DAILY,4,12,2025
2025-12-10,BRL,0.6686,2025-12-19,A,DAILY,10,12,2025
2025-12-10,JPY,0.0232,2025-12-19,A,DAILY,10,12,2025
2025-12-19,USD,3.5941,2025-12-19,A,DAILY,19,12,2025
2025-11-28,XDR,4.9813,2025-12-19,A,DAILY,28,11,2025
2025-12-09,USD,3.6336,2025-12-19,A,DAILY,9,12,2025
2025-11-26,UAH,0.0865,2025-12-19,A,DAILY,26,11,2025
2025-12-19,ISK,0.0286,2025-12-19,A,DAILY,19,12,2025
2025-12-17,TRY,0.0841,2025-12-19,A,DAILY,17,12,2025
2025-11-25,SEK,0.3836,2025-12-19,A,DAILY,25,11,2025
2025-11-27,SEK,0.3847,2025-12-19,A,DAILY,27,11,2025
2025-11-28,TRY,0.0861,2025-12-19,A,DAILY,28,11,2025
2025-11-20,MYR,0.8826,2025-12-19,A,DAILY,20,11,2025
2025-12-02,BRL,0.6815,2025-12-19,A,DAILY,2,12,2025
2025-11-28,USD,3.6624,2025-12-19,A,DAILY,28,11,2025
2025-12-03,INR,0.0403,2025-12-19,A,DAILY,3,12,2025
2025-11-20,ILS,1.1243,2025-12-19,A,DAILY,20,11,2025
2025-12-17,CLP,0.0039,2025-12-19,A,DAILY,17,12,2025
2025-12-19,XDR,4.9490,2025-12-19,A,DAILY,19,12,2025
2025-12-12,HKD,0.4627,2025-12-19,A,DAILY,12,12,2025
2025-12-15,ZAR,0.2136,2025-12-19,A,DAILY,15,12,2025
2025-11-27,ISK,0.0287,2025-12-19,A,DAILY,27,11,2025
2025-12-08,CZK,0.1746,2025-12-19,A,DAILY,8,12,2025
2025-11-27,IDR,0.0002,2025-12-19,A,DAILY,27,11,2025
2025-11-27,AUD,2.3818,2025-12-19,A,DAILY,27,11,2025
2025-12-16,ISK,0.0285,2025-12-19,A,DAILY,16,12,2025
2025-11-25,AUD,2.3687,2025-12-19,A,DAILY,25,11,2025
2025-12-04,JPY,0.0234,2025-12-19,A,DAILY,4,12,2025
2025-11-21,INR,0.0412,2025-12-19,A,DAILY,21,11,2025
2025-11-24,IDR,0.0002,2025-12-19,A,DAILY,24,11,2025
2025-12-05,CHF,4.5236,2025-12-19,A,DAILY,5,12,2025
2025-11-27,THB,0.1133,2025-12-19,A,DAILY,27,11,2025
2025-12-10,GBP,4.8363,2025-12-19,A,DAILY,10,12,2025
2025-11-19,MXN,0.2000,2025-12-19,A,DAILY,19,11,2025
2025-12-04,KRW,0.0025,2025-12-19,A,DAILY,4,12,2025
2025-12-18,GBP,4.7912,2025-12-19,A,DAILY,18,12,2025
2025-11-24,SEK,0.3848,2025-12-19,A,DAILY,24,11,2025
2025-11-25,CZK,0.1752,2025-12-19,A,DAILY,25,11,2025
2025-12-01,IDR,0.0002,2025-12-19,A,DAILY,1,12,2025
2025-12-08,ISK,0.0284,2025-12-19,A,DAILY,8,12,2025
2025-11-20,AUD,2.3784,2025-12-19,A,DAILY,20,11,2025
2025-11-20,CZK,0.1749,2025-12-19,A,DAILY,20,11,2025
2025-11-26,DKK,0.5668,2025-12-19,A,DAILY,26,11,2025
2025-12-02,HUF,0.0111,2025-12-19,A,DAILY,2,12,2025
2025-11-27,CHF,4.5318,2025-12-19,A,DAILY,27,11,2025
2025-12-08,UAH,0.0862,2025-12-19,A,DAILY,8,12,2025
2025-12-17,GBP,4.7937,2025-12-19,A,DAILY,17,12,2025
2025-12-09,SEK,0.3890,2025-12-19,A,DAILY,9,12,2025
2025-12-17,BRL,0.6530,2025-12-19,A,DAILY,17,12,2025
2025-12-10,HKD,0.4669,2025-12-19,A,DAILY,10,12,2025
2025-12-19,UAH,0.0851,2025-12-19,A,DAILY,19,12,2025
2025-12-19,JPY,0.0229,2025-12-19,A,DAILY,19,12,2025
2025-12-12,CZK,0.1744,2025-12-19,A,DAILY,12,12,2025
2025-11-26,RON,0.8316,2025-12-19,A,DAILY,26,11,2025
2025-12-08,BGN,2.1622,2025-12-19,A,DAILY,8,12,2025
2025-12-11,KRW,0.0025,2025-12-19,A,DAILY,11,12,2025
2025-12-04,UAH,0.0858,2025-12-19,A,DAILY,4,12,2025
